chars,words,vowels,num_of_punctuations,first_letter_caps,is_heading
1,1,0,0,0,0
18,3,5,0,1,0
1,1,0,0,0,0
18,2,7,0,1,0
1,1,0,0,0,0
26,3,10,0,1,0
1,1,0,0,0,0
26,3,10,0,1,0
1,1,0,0,0,0
3,1,0,0,1,0
1,1,0,0,0,0
4,1,0,0,1,0
1,1,0,0,0,0
564,95,167,23,1,0
1,1,0,0,0,0
1212,263,302,91,0,0
3,1,0,0,0,0
9,4,0,1,0,0
1,1,0,0,0,0
18,6,2,4,0,0
1,1,0,0,0,0
16,6,1,2,1,0
1,1,0,0,0,0
7,2,0,2,0,0
1,1,0,0,0,0
65,21,9,8,0,0
1,1,0,0,0,0
20,8,0,6,0,0
1,1,0,0,0,0
5,2,0,1,1,0
1,1,0,0,0,0
2096,398,580,80,1,0
1,1,0,0,0,0
251,42,71,7,0,0
1,1,0,0,0,0
892,168,249,44,1,0
1,1,0,0,0,0
174,33,50,9,0,0
20,6,0,9,1,0
1,1,0,0,0,0
14,6,2,4,0,0
1,1,0,0,0,0
4,1,0,2,0,0
1,1,0,0,0,0
457,94,124,21,1,0
1,1,0,0,0,0
31,10,1,8,1,0
1,1,0,0,0,0
4,1,0,2,0,0
1,1,0,0,0,0
479,94,131,18,1,0
1,1,0,0,0,0
198,49,45,21,1,0
475,108,106,43,1,0
1,1,0,0,0,0
12,5,0,4,1,0
1,1,0,0,0,0
15,6,1,3,0,0
1,1,0,0,0,0
58,18,2,19,1,0
1,1,0,0,0,0
525,91,146,21,1,0
1,1,0,0,0,0
209,35,60,5,1,0
1,1,0,0,0,0
1847,305,538,76,0,0
1,1,0,0,0,0
2,1,0,0,0,0
1,1,0,0,0,0
12,1,3,0,1,0
1,1,0,0,0,0
172,26,52,2,1,0
1,1,0,0,0,0
799,134,209,46,1,0
1,1,0,0,0,0
1314,220,342,69,1,0
1,1,0,0,0,0
485,86,132,15,1,0
1,1,0,0,0,0
398,61,108,26,1,0
1,1,0,0,0,0
37,7,1,3,1,0
6,2,0,1,0,0
1,1,0,0,0,0
47,13,0,1,1,0
6,1,0,0,1,0
6,2,0,1,0,0
1,1,0,0,0,0
72,13,4,12,1,0
9,1,2,0,1,0
1,1,0,0,0,0
73,14,1,13,1,0
20,6,0,4,0,0
1,1,0,0,0,0
118,25,2,49,1,0
9,1,0,1,1,0
6,2,0,1,0,0
1,1,0,0,0,0
67,13,4,12,1,0
3,1,0,0,0,0
1,1,0,0,0,0
76,14,1,14,1,0
6,1,0,0,1,0
11,3,0,2,0,0
1,1,0,0,0,0
120,25,2,49,1,0
9,1,0,1,1,0
5,1,0,1,0,0
1,1,0,0,0,0
9,1,2,0,1,0
1,1,0,0,0,0
9,1,2,0,1,0
1,1,0,0,0,0
9,1,2,0,1,0
1,1,0,0,0,0
16,5,0,3,0,0
6,2,0,1,0,0
1,1,0,0,0,0
14,4,0,3,0,0
1,1,0,0,0,0
4,1,0,1,0,0
7,2,0,1,0,0
1,1,0,0,0,0
4,1,0,1,0,0
1,1,0,0,0,0
19,2,7,0,1,0
1,1,0,0,0,0
32,8,0,6,0,0
6,2,0,1,0,0
1,1,0,0,0,0
3,1,0,0,0,0
1,1,0,0,0,0
19,2,7,0,1,0
1,1,0,0,0,0
33,8,0,7,0,0
1,1,0,0,0,0
5,1,0,1,0,0
1,1,0,0,0,0
5,1,0,1,0,0
1,1,0,0,0,0
5,1,0,1,0,0
1,1,0,0,0,0
5,1,0,1,0,0
1,1,0,0,0,0
